OTU	Domain	Phylum	Class	Order	Family	Genus	Species
Zotu480	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu785	Bacteria	Firmicutes	Clostridia	Clostridia vadinBB60 group	?	?	?
Zotu1346	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	uncultured organism
Zotu1542	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Providencia	Providencia sp. SRS82
Zotu798	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group	Clostridiales bacterium CIEAF 020
Zotu2212	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	?
Zotu1045	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	?
Zotu2370	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
Zotu222	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	?
Zotu1037	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Faecalibaculum	Faecalibaculum rodentium
Zotu15	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis
Zotu769	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	?
Zotu1299	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	Aggregatibacter aphrophilus
Zotu806	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	?	?
Zotu1640	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu2880	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	?	?	?
Zotu1952	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	?
Zotu876	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	?	?
Zotu810	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	?
Zotu2186	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	?	?
Zotu1156	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	?	?
